,slang_words
0,stnk
1,aplikasinya
2,ngeblur
3,saumpama
4,hasilnya
5,diperbaiki
6,dipermudah
7,prosesnya
8,kasihkhusus
9,jateng
10,gak
11,nopol
12,stnk
13,dimana
14,sepenuhnya
15,jepretannya
16,hasilnya
17,dinstnk
18,aplikasiaplikasinya
19,bebarbenar
20,yg
21,gak
22,memperbaharui
23,datanik
24,yg
25,tdk
26,call
27,center
28,gak
29,yg
30,jls
31,memberi
32,perbaiki
33,besarterlalu
34,fitur
35,yg
36,yg
37,tampilkan
38,fitur
39,berbelitbelit
40,qr
41,track
42,penjualanpembelian
43,bbm
44,home
45,pageaplikasi
46,yg
47,keterangannya
48,database
49,temukanngimana
50,persulituntuk
51,aplikasinya
52,bbm
53,ditambah
54,input
55,km
56,bbm
57,disertai
58,report
59,avg
60,literkm
61,avg
62,literkm
63,perkendaraan
64,disegi
65,palembang
66,spbu
67,yg
68,support
69,yg
70,support
71,ditemukan
72,offline
73,ngisi
74,ga
75,pointnya
76,spbu
77,nya
78,ga
79,support
80,aplikasinyabuat
81,spbu
82,nya
83,mypertamina
84,spbunya
85,d
86,tp
87,tetep
88,ga
89,pake
90,cash
91,d
92,update
93,loading
94,g
95,haduhsekarang
96,aplikasinya
97,pembayarannya
98,kaga
99,promo
100,promo
101,pake
102,promo
103,k
104,k
105,aplikasinya
106,adain
107,promo
108,k
109,rasain
110,promokasih
111,soalnya
112,tdk
113,database
114,nomornya
115,dicoba
116,mgkin
117,disistem
118,blm
119,d
120,update
121,sebelumnya
122,nopol
123,stnk
124,solusiaplikasi
125,mantaptapi
126,bbm
127,sdh
128,terverivikasi
129,barcode
130,password
131,claim
132,password
133,claim
134,reset
135,password
136,claim
137,login
138,my
139,pertamina
140,solusinyamasih
141,dimana
142,password
143,claim
144,youtube
145,karanya
146,password
147,claim
148,dicoba
149,gk
150,password
151,claim
152,gimana
153,katanya
154,password
155,login
156,dicoba
157,gk
158,dicoba
159,password
160,sesuaidah
161,tibatiba
162,out
163,berikutnya
164,ga
165,login
166,login
167,nya
168,ga
169,pengen
170,hape
171,hadeh
172,proyekan
173,cuan
174,ga
175,nanya
176,doank
177,nuduh
178,yaasaya
179,bbm
180,ga
181,karna
182,notif
183,yg
184,kemana
185,karna
186,yg
187,tp
188,kejelasankendalanya
189,blm
190,ngisi
191,pertamina
192,barcodenya
193,tingkatkan
194,keamanannya
195,antri
196,ngisi
197,d
198,scan
199,blm
200,ngisi
201,namanya
202,bgt
203,yaa
204,notice
205,keliatan
206,gitu
207,programnyasaat
208,disuruh
209,perbaiki
210,ktp
211,ktp
212,upload
213,ribet
214,gak
215,mudahsemenjak
216,update
217,yg
218,udh
219,yg
220,kenyataannya
221,my
222,pertamina
223,verifikasinya
224,claim
225,yg
226,daftarkan
227,bosselamat
228,pagisalam
229,my
230,pertamina
231,lanjuti
232,bbm
233,dipercepat
234,verifikasinyasaya
235,mendaparkan
236,qrakan
237,nomorotomatis
238,my
239,pertamina
240,sayaaplikasi
241,kelasnya
242,negaratapi
243,sistemnya
244,verifikasinya
245,sekaliplat
246,berubah
247,dilakukan
248,kendaraanmalah
249,gak
250,digunakan
251,katanyamobil
252,gak
253,updateribeettttmenyulitkan
254,form
255,ditemukan
256,ditambah
257,stnk
258,nya
259,makangak
260,link
261,gak
262,ovo
263,gopay
264,gak
265,ribet
266,yg
267,errormau
268,barcode
269,bisacuman
270,barcode
271,diperbarui
272,sekalikenapa
273,linkaja
274,pertahankan
275,linkaja
276,errornya
277,linkaja
278,linkajasetelah
279,mengalami
280,didalam
281,merubah
282,ono
283,bisamau
284,perbaruan
285,gak
286,respontolong
287,yg
288,perbaiki
289,login
290,finger
291,print
292,msa
293,mw
294,login
295,hrus
296,masukin
297,password
298,perbaiki
299,nya
300,masukin
301,kendaraanpantesan
302,ratingnya
303,link
304,tulisannya
305,cardaccount
306,already
307,in
308,use
309,tingkatkan
310,menggunakannya
311,uninstall
312,gak
313,bergunauntuk
314,ditemukan
315,korlantas
316,dibenahi
317,cross
318,gak
319,update
320,upload
321,stnk
322,dgn
323,nopol
324,dipoto
325,dr
326,my
327,pertamina
328,scaner
329,jelaslumayan
330,aplikasinya
331,karawang
332,spbu
333,yg
334,itupun
335,list
336,website
337,pertamina
338,nyoba
339,disalah
340,katanya
341,melayani
342,gimana
343,event
344,promo
345,spbunya
346,ga
347,supportkenapa
348,terhubung
349,link
350,perbaikannya
351,udan
352,hubungi
353,call
354,centre
355,app
356,link
357,error
358,responsecoderesponsemessagecard
359,account
360,already
361,in
362,useaplikasi
363,nya
364,katanya
365,stnk
366,ga
367,camera
368,yg
369,ngeblur
370,nya
371,jg
372,gitu
373,gini
374,gimana
375,pertalite
376,barcode
377,nya
378,pertalite
379,barcode
380,nya
381,keluarkan
382,stnk
383,aplikasinya
384,yg
385,jeleksebenarnya
386,bbm
387,low
388,respon
389,spbu
390,nontunai
391,targetnya
392,antrian
393,spbu
394,tsb
395,ramai
396,pengunjungnya
397,ayolah
398,ditingkatkan
399,service
400,nya
401,nyaaplikasinya
402,gak
403,dipakai
404,buwat
405,my
406,pertamina
407,nya
408,keterangannya
409,trs
410,udah
411,berkali
412,call
413,centernya
414,pertamina
415,gak
416,tdk
417,dipakai
418,buwat
419,bayarpengambilan
420,ft
421,stnk
422,blur
423,krn
424,tdk
425,ft
426,dr
427,galeriaplikasi
428,yg
429,sdh
430,verifikasiskr
431,knp
432,ditolakpadahal
433,tdk
434,skaliini
435,susahratingnya
436,minusuntuk
437,daftarkan
438,stnk
439,apk
440,mypertamina
441,fotonya
442,blur
443,yg
444,neberapa
445,tetep
446,fotonya
447,trusss
448,fotonya
449,galery
450,perbaiki
451,lagiupdate
452,app
453,kemunduransebelumnya
454,terhubung
455,gopay
456,update
457,mylinkaja
458,yg
459,jd
460,setting
461,gopay
462,bisanotifikasi
463,nya
464,hp
465,gopay
466,app
467,gopay
468,terhubung
469,mypertamina
470,kemundurankalau
471,mylinkaja
472,mylinkaja
473,fitur
474,mypertamina
475,gak
476,terpisahpada
477,disuruh
478,pake
479,linkaja
480,himbara
481,spbu
482,yg
483,noted
484,utk
485,yg
486,loginmohon
487,ijin
488,memberi
489,dilakukan
490,pembaharuan
491,respon
492,dicoba
493,call
494,center
495,cs
496,tsb
497,call
498,dicoba
499,pertamina
500,aplikasinya
501,bug
502,kasihaplikasinya
503,payahmau
504,masukin
505,ovo
506,terhubung
507,link
508,dulutapi
509,hubungkan
510,nggak
511,perbaiki
512,aplikasinya
513,hapuskan
514,link
515,nya
516,gak
517,konek
518,dgn
519,my
520,pertaminatidak
521,upload
522,stnk
523,apk
524,nya
525,blur
526,perbaikiklo
527,perbaiki
528,nya
529,gak
530,bbm
531,gak
532,sontoloyohasil
533,nyatakan
534,keterima
535,claim
536,persulit
537,password
538,password
539,screenshotuntuk
540,udah
541,udah
542,kepotong
543,link
544,udah
545,mypertamina
546,historynya
547,pom
548,bbm
549,ga
550,dapet
551,inidipanduan
552,nyatanya
553,unduh
554,larinya
555,fitur
556,pendaftarannya
557,sebelumnya
558,pembaruannyasudah
559,mypertamina
560,bbm
561,ehhh
562,pake
563,linkaja
564,kepotong
565,saldonya
566,vocher
567,bbm
568,yg
569,rb
570,niatnya
571,g
572,vochernya
573,g
574,diklik
575,gimana
576,solusinya
577,ditanggapisangat
578,ribet
579,lpg
580,pengisin
581,lpg
582,boss
583,ngisi
584,diisi
585,kepencet
586,sm
587,diperbaharui
588,lbh
589,simple
590,blm
591,lg
592,loading
593,loading
594,jg
595,lma
596,tlg
597,lbh
598,simple
599,g
600,ribet
601,jgn
602,krn
603,lpg
604,hp
605,krn
606,maukah
607,menggantinyasangat
608,kesalsangat
609,ribet
610,emosibetul
611,ulasanulasan
612,yg
613,update
614,upload
615,struk
616,dr
617,take
618,picture
619,photo
620,dr
621,skrg
622,pencerahannya
623,diketahui
624,app
625,mypertamina
626,kesannya
627,ksini
628,kesanamin
629,sistemnya
630,dibenerin
631,barcode
632,aktivasi
633,nya
634,gak
635,katanya
636,nya
637,gimana
638,bbm
639,gak
640,barcode
641,nya
642,pake
643,gak
644,pake
645,barcode
646,gak
647,ditindaklanjutimau
648,ovo
649,parahnya
650,nunggu
651,amsyiong
652,nggak
653,lancarupdate
654,barcode
655,ribet
656,enakan
657,udah
658,spbu
659,kembalikan
660,pengoprasionalnyaupdate
661,ribet
662,stnk
663,nya
664,ngeblur
665,dibuat
666,dr
667,verifikasinya
668,sebelumnya
669,cepatupdatenya
670,ngeupload
671,stnk
672,lol
673,diputar
674,gimana
675,kameranya
676,gak
677,stnknya
678,tampilan
679,perbesar
680,aplikasinya
681,mikir
682,aplikasiakhir
683,bermasalah
684,perbaiki
685,krn
686,membeli
687,bbm
688,lamatolong
689,perbaiki
690,stnk
691,blur
692,gimana
693,acc
694,stnk
695,ngeblur
696,sebagus
697,apapun
698,nya
699,support
700,percumamakin
701,kesini
702,anehtolong
703,tulisanya
704,kendaran
705,database
706,fitur
707,jg
708,jg
709,benahi
710,lagimengecewakan
711,update
712,gak
713,jelasstnk
714,dibilang
715,stnk
716,sesuaibukan
717,nya
718,kacaumempersulitmakin
719,updategak
720,tp
721,stnknyamending
722,fotonya
723,gak
724,blurrr
725,anehhhbuat
726,stnk
727,udah
728,gitu
729,ga
730,dikasih
731,upload
732,from
733,filegaleri
734,verivikasi
735,stnk
736,ga
737,lolkenapa
738,perpanjang
739,bbm
740,dihilangkan
741,menunya
742,yg
743,dilu
744,trimah
745,kasihsusah
746,stnk
747,nya
748,ditolak
749,diambil
750,ponsel
751,difoto
752,jelasapp
753,bnyk
754,bth
755,disana
756,dlu
757,ga
758,bs
759,dftr
760,sdh
761,lg
762,ga
763,update
764,bermasalah
765,app
766,nyaaplikasinya
767,ribet
768,barcode
769,cetaknya
770,aplikainyahabis
771,trus
772,pake
773,barcode
774,yg
775,pertmina
776,gak
777,diterima
778,katanya
779,nya
780,mobilnya
781,aplikasinya
782,gak
783,nopol
784,ruweettttttttttt
785,indonesia
786,ruwettttttttt
787,ldata
788,minggu
789,spbu
790,barcode
791,percepat
792,verifikasinyaintinya
793,pertamina
794,programnya
795,aplikasinya
796,diungkapkan
797,pokoknya
798,lapangannya
799,burukselamat
800,sekarng
801,barcode
802,nya
803,nunggu
804,gak
805,peratamx
806,dex
807,pom
808,pertamax
809,dexcara
810,daftarnya
811,nya
812,diperbaiki
813,diperbaiki
814,diperbaiki
815,langsungaplikasi
816,nya
817,bumn
818,app
819,nya
820,ancur
821,an
822,memalukantadi
823,kendaraansekarang
824,stnk
825,gitu
826,kemaren
827,ngisi
828,bbm
829,pertamina
830,tolakkatanya
831,blm
832,trdaftargiliran
833,persulit
834,gini
835,yaudah
836,ngisi
837,pom
838,gak
839,persulit
840,gini
841,uninstaluntuk
842,charging
843,stasion
844,ga
845,nya
846,yg
847,nya
848,jakbar
849,klo
850,ga
851,yg
852,dituju
853,ga
854,tampilkan
855,aplikasiaduh
856,mypertamina
857,dibuat
858,kartunya
859,karna
860,update
861,silakan
862,kesekian
863,aplikasinyarespon
864,update
865,update
866,base
867,srt
868,tetep
869,g
870,bisakenapa
871,qris
872,pt
873,bumn
874,captcha
875,pinnya
876,alihkan
877,tidaknya
878,apksudah
