,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,d7393145-8a62-4946-b1f9-8733899fa76f,Angga Ferdianova,https://play-lh.googleusercontent.com/a-/ALV-UjXikFOPBwgevxG2exwsNboGJ1-x7wynCIocGtMv8DpK2Q,Saat pendaftaran selalu di tolak dengan alasan foto stnk tidak sesuai. Padahal kamera yang ada di aplikasinya ngeblur. Saumpama bisa pilih foto dari galeri pasti bisa jelas hasilnya seperti foto kendaraan. Mohon diperbaiki dan dipermudah prosesnya terima kasih,1,178,4.0.2,2023-08-30 00:34:55,,,4.0.2
1,ece29b3b-1f85-40dc-9252-9d80f0776c7c,Hendro Wibowo,https://play-lh.googleusercontent.com/a-/ALV-UjWpBp6C617cHUDFOQjaNNj2CXwV1qdYXoTnk6_m9V8GCzg,"Khusus wilayah JaTeng ada penomoran ulang kendaraan bermotor. Ini sudah ganti plat malah bingung. Gak bisa edit nopol. Bikin baru malah susah. Foto stnk dimana ada lapisan plastik, jadi susah agar bisa terbaca sepenuhnya. Hasil jepretannya juga jelek. Padahal mode kamera biasa hasilnya bisa jernih. Ini jepret pakai aplikasi malah buram. Di mobil ada pilihan ambil foto lewat galeri tapi pas dinstnk harus foto dari aplikasi.",1,143,4.0.2,2023-09-01 11:54:33,,,4.0.2
2,444b6067-10c2-48d5-bdc9-5aa1e584544d,Fitria Sriani,https://play-lh.googleusercontent.com/a-/ALV-UjUJMiDvQ2YsWU5rjwCS0KdAuIF1INxMHP9wAxd_uPPErw,"Aplikasinya bebar-benar menyulitkan , tidak bisa edit data yg salah ketik , gak bisa memperbaharui data , tidak tersedia hapus data/nik yg sudah TDK di pakai , call center semua gak ada yg jls dalam memberi solusi dari setiap masalah , tolong di perbaiki , ini sayang sekali perusahaan besar",2,39,4.0.2,2023-10-02 07:09:58,,,4.0.2
3,045d6151-3bd7-4259-9833-ca8c0838836a,Pani Nisa,https://play-lh.googleusercontent.com/a/ACg8ocK_Bln14eAhB6MurCqMK9MShcWAejxXVodT8bq4ZLY=mo,"Terlalu banyak fitur yg tidak terpakai, tidak praktis, jadi pengguna terutama yg sudah berumur tidak bisa pakai. Tolong tampilkan saja fitur yang jelas terpakai tidak usah berbelit-belit harus pencet banyak ikon. Padahal fungsi utama ya buat cetak QR dan track penjualan/pembelian BBM, kok malah dua fungsi ini tersembunyi dan tidak jelas terpampang di home page???",2,0,4.0.2,2023-10-17 05:50:39,,,4.0.2
4,501b06ce-3aef-4cdd-8762-dbf0bba2d2ba,david moses,https://play-lh.googleusercontent.com/a-/ALV-UjVfynzRW1yzu4d92Hnq6bL8WRLIS1xigmFdC-AC-ETY,Aplikasi yg baru sangat menyulitkan.. No rangka mesin sudah di isi dengan benar.. Tapi keterangannya database tidak di temukan..ngimana kita mau daftar kalau di persulit,1,2,4.0.2,2023-10-11 00:33:56,,,4.0.2
5,089a2947-0674-45ba-ab88-79b45f5ebd43,Gustan Lie,https://play-lh.googleusercontent.com/a-/ALV-UjUtxHvJ46MOPSLV9aGLx5VSAm_RcR-9nPu2JioOCQt7rbis,"Untuk aplikasinya bagus, bisa kontrol dan analisa pemakaian bbm. Mungkin perlu ditambah untuk input KM kendaraan saat pengisian BBM disertai report avg liter/km setiap pengisian dan avg liter/km total untuk perkendaraan. Disegi operasional, untuk Kota Palembang ada beberapa SPBU yg belum support, dan untuk yg support sering ditemukan tidak bisa pakai karena offline / gangguan. Jadi sayang juga pas ngisi ga dapat pointnya gara2 SPBU nya sedang gangguan atau ga support aplikasinya.",5,97,4.0.2,2023-08-22 02:07:19,,,4.0.2
6,89250100-9ed1-486a-b069-4ebc8c1ac110,Restu Hidayatullah,https://play-lh.googleusercontent.com/a-/ALV-UjU29ridyKNWyQPwP9ljub2WJDsucAMg8p449-vOveFfiw,"Buat apa ada aplikasi kalau spbu nya tidak menerima pembayaran melalui aplikasi mypertamina, padahal sudah terdaftar SPBU-nya d aplikasi, tp tetep ga mau pake aplikasi, bayar cash deh. setelah d update lebih parah, loading lama, padahal jaringan 4G, kuota banyak, haduh.",2,64,4.0.2,2023-08-24 02:22:04,,,4.0.2
7,1681bcb1-0abf-461b-9895-4d83cd1fd0a5,Muhamad Riyandani,https://play-lh.googleusercontent.com/a-/ALV-UjUXDGZi2P6NnmDjSvug8cA9hxUvJYIfEa9PvNdVXyIgJAg,"Sekarang bagus sih aplikasinya, pembayarannya banyak lewat digital. Cuma sayang kaga ada promo, kebanyakan promo cuma buat orang yang pake mobil, masa promo minimal beli 250k, mana ada motor bisa beli 250k. Aplikasinya cuma buat orang berduit. Saran sih Adain promo buat pembelian minimal 30k kek biar rakyat kecil juga bisa rasain promo.",3,2,4.0.2,2023-10-11 11:09:02,"Baik sobat Yan Kusanagi. Terima kasih atas saran dan masukannya, akan menjadi perhatian kami untuk perbaikan kedepannya. Tks CP -Tia-",2019-02-11 02:38:48,4.0.2
8,d28eb916-0dc6-4689-aed1-e63fe5fefa54,Dafri,https://play-lh.googleusercontent.com/a/ACg8ocLi1p7QFAeF7G_11yh6Ncy4Z0ZCdPNDGKBfaPoxeVi5=mo,Kasih 1 dulu. Soalnya saat pendaftaran selalu muncul keterangan data kendaraan tdk ada di database meski nomornya sudah sesuai dan sudah berulang2 dicoba. Apa mgkin disistem blm d update? karena sebelumnya ada ganti nopol karena STNK habis. . Pajak aktif tidak telat. Semoga segera ada solusi.,1,5,4.0.2,2023-09-28 02:22:02,,,4.0.2
9,2c548050-8524-425c-b85c-93bce075a5db,Nurul Huda,https://play-lh.googleusercontent.com/a-/ALV-UjUVeIEyGWQJAKvTR2MvaCzFvb4bv4D1lQ1pt2M3WDfr8g,Aplikasi Mantap...Tapi ada kendala untuk pendaftaran bbm subsidi saya sdh terverivikasi tapi pas mau lihat ke menu barcode minta password claim padahal waktu pendaftaran tidak ada pengisian password claim & menu reset password claim di login juga tidak ada (My pertamina versi Terbaru). Mohon Solusinya...?,5,5,4.0.2,2023-09-28 10:55:06,,,4.0.2
10,c4ed87c7-d97b-45a7-ae04-f8e141f4f037,SeralithG ルミ,https://play-lh.googleusercontent.com/a-/ALV-UjXfPFD8N_0N-Sv0yPlgwUZK8ieN6DL8g9PemTDEVuNlsM8,"Masih bingung dimana tempat password claim.. Lihat di youtube karanya ada ""lupa password claim, pas dicoba malah gk ada "" Lupa password claim"", gimana sih?? Katanya sama dengan password login.. Pas dicoba malah gk bisa.. Ayo dong jangan mempersulit pengguna.. Coba lah membantu sedikit... Setiap dicoba selalu password tidak sesuai..",1,3,4.0.2,2023-10-03 17:25:39,,,4.0.2
